ID	HINT	ANSWER	ISNAME	TYPEIN	
lUdHqZUb	987521	987251	N	r:^125789|^125897|^127859|^129587|^152879|^152897|^158927|^159287|^172589|^172859|^175829|^178259|^182579|^182957|^189257|^192587|^198257|^217859|^218579|^219587|^251789|^251879|^251897|^257189|^257981|^258197|^258917|^258971|^259781|^275981|^278591|^281579|^285179|^287159|^291857|^295187|^295871|^297581|^298157|^517289|^518729|^519287|^521789|^521879|^521897|^527819|^527981|^528197|^528719|^528791|^528971|^529871|^579281|^581729|^582719|^582971|^587219|^591287|^591827|^598127|^598721|^715289|^718259|^721859|^725189|^725891|^725981|^729851|^752189|^752819|^752891|^759821|^782519|^785129|^785219|^785921|^789251|^792581|^798251|^798521|^812597|^812759|^815279|^815729|^817529|^821759|^825791|^825971|^827591|^851297|^852179|^852197|^871259|^872159|^872951|^875129|^895127|^895721|^897251|^918257|^928157|^957821|^972581|^975281|^978521|^981527|^982571|^987251	
GBi6Cac4	987431	987143	N	r:^134789|^137849|^138497|^139487|^143879|^148793|^149837|^149873|^174389|^174893|^178349|^178439|^179483|^183479|^183497|^187349|^189347|^189437|^189473|^189743|^193847|^198347|^198437|^314879|^317489|^318749|^341879|^347891|^347981|^348917|^349187|^349871|^374189|^374819|^374981|^378149|^378941|^381749|^384719|^391487|^391847|^394187|^394817|^398417|^398471|^413879|^417839|^417983|^418739|^418793|^419873|^437819|^439781|^471389|^471893|^473981|^478139|^478391|^478913|^478931|^479813|^481379|^483179|^483719|^483971|^487391|^491783|^491837|^491873|^493817|^497813|^497831|^714839|^714893|^718349|^718493|^718943|^719483|^734189|^734819|^743819|^743891|^749183|^781493|^783149|^784913|^793841|^794831|^798143|^813749|^814379|^814937|^819437|^819473|^837149|^839471|^841397|^841793|^843179|^847139|^847193|^849731|^871349|^871439|^873419|^874193|^879143|^879341|^879413|^891743|^893147|^894137|^894371|^894713|^894731|^913487|^914783|^914873|^917843|^918347|^931487|^934187|^937481|^937841|^943781|^943871|^947183|^947381|^948173|^948317|^948713|^971483|^978413|^981437|^981473|^987143	
7YoIJgWP	987421	984127	N	r:^124897|^124987|^127849|^128749|^142789|^142897|^147289|^148279|^148927|^149287|^149827|^172489|^172849|^174289|^174829|^178249|^184279|^192847|^194827|^198427|^214789|^214987|^217489|^217849|^218479|^218749|^218947|^219847|^248179|^248719|^248971|^249187|^249871|^271489|^271849|^278149|^278491|^279481|^281947|^284917|^287149|^287491|^289417|^289741|^294781|^297481|^297841|^412987|^418279|^418927|^419827|^421987|^429817|^472189|^478129|^479821|^481297|^482179|^482719|^482917|^482971|^487219|^489127|^489217|^492781|^492871|^497281|^498271|^712489|^721849|^728941|^742891|^742981|^748219|^748921|^782149|^782941|^784129|^784219|^792481|^814279|^814927|^821479|^821497|^824179|^827941|^841297|^841927|^842791|^847129|^847219|^849127|^849217|^849271|^849721|^871249|^872149|^872419|^891427|^892471|^894721|^897241|^912487|^914827|^924871|^927841|^928471|^942187|^948721|^972481|^974821|^982147|^982741|^984127	
UxHff511	986543	986543	N	r:^345689|^345869|^346589|^354689|^354869|^365489|^386549|^438569|^458639|^458963|^465893|^468359|^468593|^468953|^469583|^486539|^489653|^496583|^498653|^536849|^538649|^543689|^546893|^548693|^548963|^549683|^549863|^563489|^564983|^568349|^568439|^568493|^569843|^583469|^584693|^584963|^586349|^586493|^589643|^598463|^598643|^634859|^635849|^638459|^643589|^643859|^645839|^645893|^648953|^654839|^658349|^658943|^659843|^685493|^695843|^698543|^834569|^835469|^846359|^846953|^854963|^856943|^864359|^864953|^865349|^865493|^869543|^895463|^896453|^896543|^946853|^956843|^964583|^965483|^965843|^984563|^985463|^986543	
wpEmoS82	986542	856249	N	r:^248569|^254869|^256489|^258469|^268459|^284659|^285469|^286459|^425869|^426859|^428569|^452689|^452869|^458629|^462589|^482569|^482659|^524869|^528469|^546289|^548629|^582469|^582649|^586429|^624859|^625489|^648259|^652849|^685249|^685429|^826549|^846259|^846529|^854629|^856249	
0CAzaJnx	986531	986351	N	r:^136859|^138569|^153689|^159683|^163859|^165983|^169583|^183569|^185369|^185693|^189653|^195863|^196583|^196853|^316859|^318569|^356819|^356981|^358691|^369581|^369851|^381569|^381659|^386159|^389561|^389651|^396581|^516839|^519683|^519863|^531689|^536189|^536891|^561389|^561839|^561983|^568193|^568391|^568913|^569813|^569831|^581369|^581639|^583169|^583619|^586139|^586319|^589163|^591863|^596831|^598163|^598613|^615389|^618593|^619583|^631859|^635891|^635981|^638159|^639851|^651839|^653819|^658139|^658319|^658391|^658913|^659831|^681539|^683159|^683591|^685319|^691583|^693851|^698531|^815693|^815963|^816539|^816593|^819563|^819653|^831659|^836159|^836951|^839651|^851639|^856139|^856391|^859361|^869153|^891563|^895361|^895613|^896531|^915683|^916583|^918563|^918653|^935861|^953681|^953861|^956831|^958163|^958361|^961853|^963581|^981653|^985613|^985631|^986351	
TwiLD9Ev	986521	968521	N	r:^126859|^128659|^158269|^162859|^165829|^182659|^186259|^215689|^216859|^256189|^256981|^258691|^259681|^265819|^265891|^268519|^269851|^286519|^286591|^295861|^296581|^298651|^516829|^521869|^526189|^528691|^529681|^561829|^568921|^582691|^582961|^586129|^586291|^586921|^592681|^592861|^596821|^598261|^612589|^615289|^615829|^625819|^628591|^651289|^652189|^658219|^681259|^682519|^682951|^692581|^692851|^695281|^698251|^698521|^825961|^829561|^862159|^869251|^869521|^896521|^926581|^926851|^928561|^928651|^952681|^956281|^958261|^968251|^968521	
hWhymTjU	986432	982643	N	r:^234869|^238649|^246839|^248639|^249863|^263489|^263849|^264839|^264893|^268439|^268493|^284369|^286493|^289463|^289643|^296843|^324689|^324869|^342869|^348269|^348629|^364289|^364829|^382649|^386249|^386429|^423869|^426389|^426893|^428369|^428639|^428693|^429683|^432869|^462983|^463829|^468239|^469283|^469823|^483629|^486293|^486329|^486923|^489263|^496283|^624839|^624983|^628493|^629483|^629843|^648239|^648293|^649283|^682439|^682943|^684239|^684293|^684329|^684923|^826349|^826493|^829463|^829643|^834269|^834629|^843629|^862493|^862943|^892643|^924683|^926843|^928463|^928643|^946823|^948263|^964283|^964823|^968423|^982643	
6vAs67uv	986431	986143	N	r:^136849|^138469|^146389|^146893|^146983|^148639|^148693|^164839|^164893|^168943|^169483|^169843|^184369|^184693|^189463|^189643|^194683|^194863|^198463|^346891|^364891|^368149|^368491|^369841|^384619|^384691|^384961|^386149|^389461|^394861|^413689|^413869|^416389|^416839|^431869|^436819|^438169|^438961|^439861|^461983|^463189|^463891|^468319|^468913|^481639|^481693|^481963|^483619|^486139|^486193|^486391|^489361|^489613|^489631|^496381|^496813|^498163|^498361|^498613|^613849|^614893|^614983|^618349|^618439|^634891|^648391|^648931|^649183|^649381|^649813|^681493|^681943|^683149|^689341|^689431|^691843|^694381|^694831|^698413|^819463|^834961|^836149|^836491|^841369|^846913|^846931|^861439|^861493|^863491|^864319|^869413|^891643|^894613|^896143|^896341|^934861|^941683|^963481|^963841|^968431|^983461|^986143	
QrhWaThW	986321	986213	N	r:^126839|^128693|^132689|^138629|^162389|^162839|^168293|^169283|^169823|^182639|^186239|^198623|^218963|^219683|^236891|^236981|^238691|^261389|^261983|^263819|^268913|^269183|^283961|^289361|^293681|^293861|^296183|^296831|^298631|^318629|^326189|^328619|^328961|^368129|^369821|^381629|^382961|^386129|^386219|^386921|^389621|^398261|^398621|^613289|^613829|^618329|^621389|^621893|^621983|^628139|^628193|^628319|^628391|^628913|^629381|^632189|^681293|^683129|^689321|^812639|^812963|^813269|^816239|^816329|^819263|^823169|^823619|^823961|^826193|^826391|^829613|^836219|^836291|^836921|^839261|^839621|^861239|^861293|^862139|^862319|^862913|^863921|^869321|^893261|^896123|^918263|^923861|^926183|^928163|^932681|^936281|^961283|^968213|^968321|^981263|^981623|^982613|^983261|^986213	
C8mqFCR2	985432	984253	N	r:^234589|^235489|^235849|^243589|^245389|^245983|^248593|^249583|^249853|^254389|^284539|^284593|^289453|^289543|^295843|^324589|^325849|^348259|^352489|^354829|^358429|^382549|^384259|^385249|^423859|^425839|^428539|^429853|^432589|^438259|^452983|^453289|^458239|^482359|^482539|^482593|^485923|^492853|^498523|^523489|^524389|^524893|^524983|^532489|^532849|^538249|^543289|^548239|^583249|^584923|^589243|^592483|^592843|^594283|^594823|^824539|^825439|^829453|^834259|^835249|^849253|^849523|^853429|^854923|^859423|^895243|^895423|^925843|^928453|^942583|^942853|^945823|^948253|^952843|^958423|^982453|^984253	
PF2GIHtH	985421	952481	N	r:^128549|^142589|^145289|^145829|^158429|^182549|^184259|^185429|^214589|^218459|^218549|^241589|^245981|^258491|^259841|^281549|^284159|^284591|^298451|^412589|^412859|^418259|^425189|^425819|^428951|^429581|^429851|^458219|^458921|^482519|^495821|^498521|^512849|^514289|^518249|^518429|^524189|^524981|^528419|^528491|^542189|^542891|^542981|^548291|^549281|^581429|^582419|^589241|^594281|^594821|^598421|^821459|^824591|^824951|^825491|^841259|^842159|^842519|^842951|^845129|^845219|^845921|^852149|^854129|^854921|^894521|^895241|^895421|^952481	
0BmvNF88	985321	985213	N	r:^129853|^132589|^132859|^135829|^152389|^152839|^158293|^158329|^158923|^182593|^182953|^183259|^185923|^189253|^189523|^192583|^192853|^213589|^213859|^215389|^215893|^215983|^231589|^231859|^235891|^238159|^238519|^238591|^239851|^251893|^251983|^253819|^258319|^259183|^259381|^259813|^281539|^283159|^283519|^285139|^291853|^295831|^298153|^298513|^312589|^315829|^318259|^325189|^325891|^328519|^328591|^351289|^351829|^352819|^358219|^358291|^381529|^382519|^385129|^385291|^392851|^512389|^513829|^518239|^519283|^528391|^529183|^529381|^529813|^532981|^538921|^581239|^581293|^582139|^582319|^582391|^582931|^583291|^589123|^589213|^589231|^598123|^812359|^813529|^815923|^819253|^819523|^823519|^823591|^825193|^831529|^832159|^832519|^832591|^851239|^851293|^852139|^852391|^852913|^853291|^859213|^859321|^891523|^892153|^892351|^892513|^892531|^893521|^895231|^912853|^915283|^923581|^923851|^925831|^928153|^928351|^928513|^938251|^951283|^952183|^952381|^952813|^958123|^958213|^981523|^982351|^985213	
LaNAU9cf	976543	976453	N	r:^345679|^345769|^349567|^356479|^356749|^356947|^357649|^364759|^365479|^365749|^396547|^435679|^435769|^436957|^439567|^459763|^463579|^465379|^465739|^467953|^469753|^473659|^475369|^475639|^475693|^493567|^493657|^495637|^534697|^536479|^536749|^536947|^543679|^543769|^543967|^546739|^546937|^547369|^547639|^563947|^564793|^564937|^564973|^567439|^567493|^567943|^574963|^576439|^576493|^576943|^579643|^593647|^594367|^594637|^597643|^634597|^634759|^637459|^639547|^643957|^645397|^645739|^645937|^645973|^647359|^647593|^647953|^649573|^653749|^654397|^654739|^657439|^657493|^659437|^659473|^673459|^673549|^674953|^694357|^695347|^695743|^697453|^734659|^735649|^745369|^749653|^754639|^759463|^763549|^764539|^764593|^765439|^769453|^769543|^794653|^795643|^934567|^943567|^945367|^945673|^946573|^946753|^953647|^954367|^954763|^957643|^964357|^964753|^974563|^974653|^975463|^975643|^976453	
w3mGavGi	976541	974651	N	r:^145679|^145967|^154769|^156749|^157649|^165479|^165749|^165947|^169457|^174569|^174659|^175649|^176459|^176549|^415697|^416579|^416957|^419567|^451679|^451967|^456791|^459167|^459671|^461957|^465917|^467591|^471659|^475169|^475619|^475691|^476519|^476591|^479561|^495617|^497561|^514769|^514967|^516947|^517469|^519647|^541967|^546179|^546197|^546719|^547619|^549167|^561947|^564197|^564917|^569417|^574169|^574619|^579641|^594617|^596147|^596741|^614759|^615479|^615497|^615749|^641579|^645179|^647951|^649157|^649751|^654917|^657491|^659741|^674159|^675419|^679451|^694571|^714569|^716459|^716549|^741569|^746951|^756149|^756419|^759641|^761459|^764591|^769541|^795461|^796451|^796541|^914657|^916457|^945671|^947561|^947651|^951647|^954167|^954671|^956147|^957641|^961547|^964517|^964571|^965147|^967451|^974651	
3vrwmnFk	976532	976253	N	r:^235679|^235967|^239567|^253679|^253769|^257639|^263597|^263759|^263957|^265739|^267593|^269573|^273569|^275963|^276359|^276593|^276953|^296753|^325697|^325769|^326597|^329657|^356927|^359267|^362759|^365297|^367259|^376529|^395627|^396527|^526397|^526739|^526937|^529637|^529673|^536279|^536729|^537269|^539267|^562739|^562973|^569237|^572639|^572963|^576293|^579263|^592367|^592763|^593627|^596273|^597263|^623759|^623957|^625397|^627593|^627953|^629537|^635279|^635729|^637529|^639257|^652739|^652937|^653927|^659237|^659327|^659723|^672593|^672953|^673529|^675239|^675923|^692537|^692753|^693257|^693527|^695327|^697523|^725639|^726953|^736259|^752639|^756293|^756923|^759263|^759623|^762539|^765293|^765329|^792563|^923567|^925637|^926357|^926537|^927653|^932567|^936527|^956237|^956273|^956723|^957263|^962537|^975263|^976253	
6VE8BU2h	976531	976513	N	r:^135697|^137659|^157639|^159673|^159763|^165379|^165397|^167593|^167953|^169753|^173659|^175963|^179563|^315697|^315967|^316759|^316957|^319567|^356197|^357169|^357619|^359167|^359761|^365179|^365791|^367519|^369751|^375169|^395671|^396157|^513679|^513697|^513769|^516793|^516973|^517639|^536719|^536791|^536917|^536971|^537169|^539167|^539761|^561973|^563197|^563971|^567319|^569137|^569713|^569731|^571369|^573691|^576193|^576319|^576391|^579613|^591673|^596317|^597361|^597613|^613597|^613759|^613957|^615379|^615739|^615793|^617359|^619537|^619573|^619753|^631597|^635197|^635917|^637519|^639157|^639517|^639571|^651397|^651793|^653197|^657193|^657931|^659137|^659173|^659317|^659371|^659713|^673951|^675319|^675391|^675931|^679153|^679531|^691573|^693157|^693571|^695371|^697351|^697513|^713569|^715639|^715963|^716953|^735169|^736159|^736951|^753619|^753691|^756139|^756319|^759631|^763159|^765139|^765319|^765913|^765931|^791563|^793561|^796531|^915367|^915763|^916537|^931657|^935167|^935761|^951367|^951637|^953671|^956713|^957361|^963751|^965317|^971563|^971653|^973561|^976351|^976513	
E8qwREwJ	976432	963427	N	r:^234769|^234967|^236479|^236749|^236947|^243769|^246739|^246793|^246937|^247369|^247693|^249367|^249763|^264739|^264793|^267439|^267493|^269473|^274693|^276439|^293467|^294673|^296347|^296437|^296473|^324697|^326479|^326497|^326947|^327469|^342679|^342697|^347629|^362749|^369247|^392467|^392647|^396247|^396427|^423697|^423769|^426739|^426973|^427369|^429367|^429673|^436279|^436729|^437629|^462739|^462937|^463297|^467239|^467293|^467329|^469237|^469723|^472369|^472639|^472963|^479263|^479623|^492673|^492763|^493627|^623947|^624973|^627349|^627943|^629743|^632497|^634279|^634927|^642739|^642937|^642973|^643729|^643927|^647293|^649273|^672349|^672439|^672493|^672943|^673429|^674239|^679423|^692347|^692743|^694273|^694327|^697423|^724639|^729643|^736249|^736429|^742369|^743269|^746329|^763429|^764293|^769243|^769423|^792643|^923467|^926437|^927643|^932647|^942367|^942637|^942763|^946273|^946327|^947263|^962743|^963427	
QQ1lYIIt	976421	974261	N	r:^124679|^124769|^127649|^142697|^146297|^147629|^149627|^162749|^162947|^164279|^164729|^167249|^167429|^169427|^172649|^194267|^196247|^214967|^216947|^219467|^219647|^241679|^246971|^247691|^249671|^264179|^264791|^267419|^267941|^269741|^274961|^279641|^291647|^294167|^294761|^296741|^297641|^412967|^421697|^426197|^426917|^426971|^427169|^427619|^461297|^462719|^469127|^472691|^476219|^476921|^491627|^492617|^492671|^492761|^496127|^497261|^612497|^612947|^614279|^614297|^614729|^614927|^617249|^617429|^619247|^621749|^624791|^624917|^627491|^629417|^641279|^642197|^642791|^647219|^649217|^671249|^692147|^694271|^694721|^716249|^724961|^726149|^726419|^726941|^742619|^746129|^761249|^761429|^762491|^769421|^792461|^792641|^912467|^912647|^921467|^921647|^924617|^926741|^941267|^942167|^947621|^961427|^962417|^962471|^964217|^964721|^974261	
l2zAP2bU	976321	976231	N	r:^126397|^126739|^129763|^132679|^132697|^132967|^139267|^139627|^162739|^162937|^162973|^163729|^163927|^167329|^169327|^173629|^176329|^176923|^179623|^192637|^216379|^216397|^216973|^217369|^219763|^231967|^236917|^237619|^237691|^239167|^239671|^261379|^261739|^261973|^267139|^267193|^267391|^267913|^269317|^269713|^271639|^271693|^276319|^279613|^291367|^293617|^296137|^296713|^296731|^297613|^312679|^312967|^316297|^317269|^321679|^327619|^329167|^329617|^329671|^329761|^361279|^361927|^367219|^376291|^376921|^391627|^392761|^396217|^613279|^613297|^617293|^619273|^621739|^621937|^623719|^627139|^627391|^629137|^629371|^631927|^632971|^637129|^637291|^672193|^672913|^673129|^673291|^673921|^679123|^691723|^692371|^693127|^712693|^723169|^726139|^726391|^729613|^732169|^736921|^739621|^762319|^762913|^763921|^769123|^769231|^792163|^792613|^793621|^912367|^912763|^916273|^921637|^923617|^927361|^927631|^931267|^932761|^936127|^961273|^967321|^971263|^972163|^972613|^976231	
8L7VHWp0	975431	974531	N	r:^134597|^135479|^135497|^139457|^139547|^153749|^153947|^154937|^157349|^159347|^159437|^159473|^173549|^175349|^175493|^179453|^195743|^197453|^314597|^314957|^317459|^319547|^341597|^345791|^347519|^347591|^347951|^351479|^351497|^351749|^354791|^354971|^359147|^359417|^371549|^374159|^375149|^379451|^379541|^394157|^394571|^395147|^395741|^397541|^413579|^413597|^413759|^415379|^415937|^417953|^419537|^419753|^431597|^431759|^435179|^437159|^437519|^439157|^451397|^451793|^451937|^453197|^457139|^457319|^457913|^459317|^471539|^471593|^473159|^473519|^473951|^479153|^479513|^491357|^491537|^495371|^495713|^497153|^497351|^513479|^513749|^514379|^514739|^514793|^531497|^534971|^537941|^543791|^543971|^547139|^549713|^573941|^574913|^591743|^594137|^715439|^715943|^734159|^735419|^735491|^741593|^743159|^743591|^745391|^745931|^749153|^749351|^751943|^753941|^754931|^759431|^791543|^794153|^794531|^913457|^914357|^915437|^934517|^935147|^941537|^941573|^941753|^943157|^943571|^943751|^945731|^947351|^951437|^954713|^957413|^957431|^974513|^974531	
WGxdT4dN	975421	975421	N	r:^124759|^125497|^127549|^129457|^142759|^149257|^152947|^154279|^154927|^157429|^174259|^192547|^194527|^195427|^214759|^215497|^219547|^241597|^245719|^247519|^247591|^249517|^251947|^254179|^254197|^254791|^254971|^271549|^274591|^274951|^275419|^275491|^275941|^279451|^279541|^291457|^291547|^294157|^294751|^295417|^415729|^419527|^425197|^425791|^427591|^427951|^451279|^459127|^459271|^471259|^472159|^475219|^475921|^491527|^497521|^512497|^517249|^519247|^519427|^521497|^521749|^524197|^524971|^527419|^527941|^529471|^529741|^541927|^542197|^542719|^542791|^547291|^572419|^572491|^572941|^574219|^592741|^594271|^594721|^714529|^715249|^724519|^725149|^729451|^742519|^742591|^752149|^754921|^914257|^915247|^921457|^924751|^925147|^925741|^927541|^951427|^952741|^957241|^975421	
MF7fK5DT	974321	974213	N	r:^123479|^124739|^124793|^127493|^129347|^132749|^132947|^142973|^143729|^147293|^172439|^173249|^173429|^174329|^179243|^192347|^192743|^193247|^194723|^197243|^197423|^213947|^217439|^219437|^231479|^231947|^234197|^234791|^234917|^239147|^239417|^241739|^241793|^241973|^243197|^243917|^247193|^247391|^247913|^249317|^273149|^273941|^274139|^274931|^279143|^279413|^279431|^291437|^291743|^293147|^294317|^294731|^314927|^319427|^321947|^324179|^324791|^327419|^327491|^327941|^329471|^341729|^341927|^342179|^342197|^342791|^342971|^347129|^371249|^372149|^372941|^374219|^374291|^391247|^392741|^394271|^394721|^412397|^412739|^412793|^417239|^417293|^421397|^421739|^421973|^423179|^423791|^427913|^429137|^429731|^431297|^431729|^437219|^439217|^471923|^472139|^472193|^472319|^472391|^473219|^479231|^491273|^491327|^492731|^493127|^493217|^493721|^712493|^721439|^723491|^729143|^729413|^731249|^732491|^734291|^739241|^742193|^742913|^743129|^743921|^792413|^794231|^913247|^914237|^914327|^914723|^917243|^921743|^923147|^923471|^924173|^924713|^924731|^927431|^932417|^932471|^934127|^934721|^937241|^937421|^941723|^942317|^942371|^943127|^972431|^973421|^974123|^974213	
